iter	Passed	Remaining
0	130	12958
1	131	6448
2	132	4276
3	132	3187
4	133	2536
5	134	2101
6	134	1792
7	135	1561
8	136	1382
9	137	1236
10	138	1116
11	138	1016
12	139	931
13	139	859
14	140	796
15	141	740
16	141	692
17	142	648
18	142	609
19	143	574
20	144	542
21	144	513
22	145	487
23	146	462
24	146	440
25	147	419
26	147	399
27	148	382
28	149	365
29	149	349
30	150	334
31	151	321
32	151	308
33	152	296
34	153	284
35	153	273
36	154	263
37	155	253
38	155	243
39	156	234
40	157	226
41	157	217
42	157	209
43	158	201
44	159	194
45	159	187
46	160	180
47	161	174
48	161	168
49	162	162
50	162	156
51	163	150
52	163	145
53	164	140
54	164	134
55	165	130
56	166	125
57	166	120
58	167	116
59	168	112
60	168	107
61	169	103
62	170	99
63	170	96
64	171	92
65	172	88
66	172	85
67	173	81
68	173	78
69	174	74
70	175	71
71	175	68
72	176	65
73	177	62
74	177	59
75	178	56
76	178	53
77	179	50
78	180	47
79	181	45
80	181	42
81	182	40
82	182	37
83	183	34
84	184	32
85	184	30
86	185	27
87	185	25
88	186	23
89	187	20
90	187	18
91	188	16
92	189	14
93	189	12
94	190	10
95	190	7
96	191	5
97	192	3
98	192	1
99	193	0
